"Air4casts Terminal Forecasts Download"
"Terminal  Country Multi Selector"
"
"
02/12/24
"
"
"International = 3, Domestic = 4, Total = 5"
"
"
Australia
"2038, 2040"
"PAX 000"
"
"
"
"
"'Townsville' : TSV"
"Terminal Code",Year,Month,"Data No","Pax 000"
SYD2,2038,Nov,5,1724.997
SYD3,2038,Nov,5,1189.334
SYD3,2038,Nov,4,1189.334
SYD1,2038,Dec,3,1955.454
SYD1,2038,Dec,5,1967.113
SYD1,2038,Dec,4,11.659
SYD2,2038,Dec,5,1698.705
SYD2,2038,Dec,4,1698.705
SYD3,2038,Dec,4,1176.969
SYD3,2038,Dec,5,1176.969
SYD1,2040,Jan,5,2067.256
SYD1,2040,Jan,4,11.270
SYD1,2040,Jan,3,2055.986
SYD2,2040,Jan,5,1678.600
SYD2,2040,Jan,4,1678.600
SYD3,2040,Jan,5,1145.725
SYD3,2040,Jan,4,1145.725
SYD1,2040,Feb,5,1648.740
SYD1,2040,Feb,4,10.101
SYD1,2040,Feb,3,1638.639
SYD2,2040,Feb,4,1519.704
SYD2,2040,Feb,5,1519.704
SYD3,2040,Feb,5,1032.047
SYD3,2040,Feb,4,1032.047
SYD1,2040,Mar,3,1637.348
SYD1,2040,Mar,5,1648.842
SYD1,2040,Mar,4,11.494
SYD2,2040,Mar,5,1720.674
SYD2,2040,Mar,4,1720.674
SYD3,2040,Mar,4,1146.562
SYD3,2040,Mar,5,1146.562
SYD1,2040,Apr,5,1746.392
SYD1,2040,Apr,4,11.382
SYD1,2040,Apr,3,1735.010
SYD2,2040,Apr,5,1679.972
SYD2,2040,Apr,4,1679.972
SYD3,2040,Apr,5,1121.657
SYD3,2040,Apr,4,1121.657
SYD1,2040,May,4,11.055
SYD1,2040,May,3,1612.125
SYD1,2040,May,5,1623.180
SYD2,2040,May,5,1630.031
SYD2,2040,May,4,1630.031
SYD3,2040,May,5,1084.998
SYD3,2040,May,4,1084.998
SYD1,2040,Jun,3,1649.232
SYD1,2040,Jun,5,1659.612
